No,Country,Latitude,Longitude,Crop,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
247,Angola,-11.2027,17.8739,Sweet potatoes,1995,81138,1010,336,24.56
248,Angola,-11.2027,17.8739,Wheat,1995,11855,1010,336,24.56
259,Angola,-11.2027,17.8739,Sweet potatoes,1997,78098,1010,40,24.06
280,Angola,-11.2027,17.8739,Wheat,2000,17023,1010,40,24.41
218,Angola,-11.2027,17.8739,Wheat,1990,7995,1010,64,24.12
303,Angola,-11.2027,17.8739,Sweet potatoes,2004,45360,1010,40,24.22
304,Angola,-11.2027,17.8739,Wheat,2004,12442,1010,40,24.22
320,Angola,-11.2027,17.8739,Wheat,2006,10000,1010,40,24.14
243,Angola,-11.2027,17.8739,Cassava,1995,51000,1010,336,24.56
352,Angola,-11.2027,17.8739,Wheat,2010,10526,1010,40,24.44
362,Angola,-11.2027,17.8739,Maize,2012,7770,1010,40,24.24
255,Angola,-11.2027,17.8739,Cassava,1997,44205,1010,40,24.06
256,Angola,-11.2027,17.8739,Maize,1997,5959,1010,40,24.06
257,Angola,-11.2027,17.8739,Potatoes,1997,68571,1010,40,24.06
258,Angola,-11.2027,17.8739,"Rice, paddy",1997,20000,1010,40,24.06
233,Angola,-11.2027,17.8739,Potatoes,1993,70000,1010,169,24.15
260,Angola,-11.2027,17.8739,Wheat,1997,15509,1010,40,24.06
374,Angola,-11.2027,17.8739,Soybeans,2013,4405,1010,40,24.55
333,Angola,-11.2027,17.8739,Sorghum,2008,929,1010,40,24.27
354,Angola,-11.2027,17.8739,Maize,2011,7376,1010,40,24.15
226,Angola,-11.2027,17.8739,Maize,1992,3778,1010,23,23.96
224,Angola,-11.2027,17.8739,Wheat,1991,8000,1010,79,24.02
361,Angola,-11.2027,17.8739,Cassava,2012,100073,1010,40,24.24
227,Angola,-11.2027,17.8739,Potatoes,1992,40000,1010,23,23.96
229,Angola,-11.2027,17.8739,Sweet potatoes,1992,90000,1010,23,23.96
230,Angola,-11.2027,17.8739,Wheat,1992,8000,1010,23,23.96
311,Angola,-11.2027,17.8739,Sweet potatoes,2005,46159,1010,40,24.41
231,Angola,-11.2027,17.8739,Cassava,1993,42295,1010,169,24.15
366,Angola,-11.2027,17.8739,Soybeans,2012,1641,1010,40,24.24
324,Angola,-11.2027,17.8739,"Rice, paddy",2007,5143,1010,40,24.24
325,Angola,-11.2027,17.8739,Sorghum,2007,4031,1010,40,24.24
269,Angola,-11.2027,17.8739,Potatoes,1999,54597,1010,40,24.37
270,Angola,-11.2027,17.8739,"Rice, paddy",1999,14235,1010,40,24.37
271,Angola,-11.2027,17.8739,Sweet potatoes,1999,82865,1010,40,24.37
222,Angola,-11.2027,17.8739,"Rice, paddy",1991,10000,1010,79,24.02
242,Angola,-11.2027,17.8739,Wheat,1994,10000,1010,25.5,24.04
221,Angola,-11.2027,17.8739,Potatoes,1991,40000,1010,79,24.02
228,Angola,-11.2027,17.8739,"Rice, paddy",1992,9106,1010,23,23.96
363,Angola,-11.2027,17.8739,Potatoes,2012,69381,1010,40,24.24
364,Angola,-11.2027,17.8739,"Rice, paddy",2012,7703,1010,40,24.24
365,Angola,-11.2027,17.8739,Sorghum,2012,998,1010,40,24.24
264,Angola,-11.2027,17.8739,"Rice, paddy",1998,20000,1010,40,24.96
367,Angola,-11.2027,17.8739,Sweet potatoes,2012,52954,1010,40,24.24
368,Angola,-11.2027,17.8739,Wheat,2012,11258,1010,40,24.24
317,Angola,-11.2027,17.8739,Sorghum,2006,4091,1010,40,24.14
318,Angola,-11.2027,17.8739,Soybeans,2006,4286,1010,40,24.14
319,Angola,-11.2027,17.8739,Sweet potatoes,2006,44240,1010,40,24.14
296,Angola,-11.2027,17.8739,Wheat,2002,15455,1010,40,24.79
307,Angola,-11.2027,17.8739,Potatoes,2005,23646,1010,40,24.41
220,Angola,-11.2027,17.8739,Maize,1991,4013,1010,79,24.02
355,Angola,-11.2027,17.8739,Potatoes,2011,81366,1010,40,24.15
358,Angola,-11.2027,17.8739,Soybeans,2011,5294,1010,40,24.15
359,Angola,-11.2027,17.8739,Sweet potatoes,2011,65512,1010,40,24.15
360,Angola,-11.2027,17.8739,Wheat,2011,10959,1010,40,24.15
310,Angola,-11.2027,17.8739,Soybeans,2005,3793,1010,40,24.41
265,Angola,-11.2027,17.8739,Sweet potatoes,1998,76256,1010,40,24.96
234,Angola,-11.2027,17.8739,"Rice, paddy",1993,8000,1010,169,24.15
237,Angola,-11.2027,17.8739,Cassava,1994,58596,1010,25.5,24.04
375,Angola,-11.2027,17.8739,Sweet potatoes,2013,73409,1010,40,24.55
305,Angola,-11.2027,17.8739,Cassava,2005,117628,1010,40,24.41
219,Angola,-11.2027,17.8739,Cassava,1991,40295,1010,79,24.02
241,Angola,-11.2027,17.8739,Sweet potatoes,1994,83192,1010,25.5,24.04
309,Angola,-11.2027,17.8739,Sorghum,2005,3333,1010,40,24.41
261,Angola,-11.2027,17.8739,Cassava,1998,55728,1010,40,24.96
